File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
a7474755-f3dc-4a63-bc79-b9d10ee278af	a1ef8ec0-27af-4096-a29b-fc0a62f364f4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-HU-A4GN	TCGA-HU-A4GN-11A	Solid Tissue Normal
c3c6519e-fae9-4c38-b4fe-4ffad6d1e30d	60f82eb6-9d8f-4466-b3fb-d62739d8ded8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8484	TCGA-BR-8484-01A	Primary Tumor
7615702f-581e-47fd-ae1f-a513daa4d2d2	3e67791f-50c3-4e19-a969-28f744cd3557.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8077	TCGA-BR-8077-01A	Primary Tumor
01aeccaf-0178-43d7-8273-b0bf9eeacddb	0fd97692-8c0f-42c4-820e-bf4313a40bc3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-IP-7968	TCGA-IP-7968-11A	Solid Tissue Normal
f8bf2bd7-307f-44f1-a006-84ba418ab28f	8db61d16-8a3f-4ca2-8e5d-e3b49f8e6f3b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-IP-7968	TCGA-IP-7968-01A	Primary Tumor
e64a2b4d-9e8b-4a1b-b648-d5c0f17aaebb	bb42384c-80ad-4b0d-97f3-2b58c17f3e30.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-AA64	TCGA-VQ-AA64-01A	Primary Tumor
fac193f5-1eaf-4d84-8fc9-ddfb5a85acd5	a66dc259-ed64-4abd-8a36-d7ec30e3cbed.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-RD-A8NB	TCGA-RD-A8NB-01A	Primary Tumor
d0b2538e-a08b-4305-8b9d-bc4a157fa0f4	5b3dea26-78fa-4643-97eb-d67b050b3871.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-HU-A4H0	TCGA-HU-A4H0-01A	Primary Tumor
61fac82c-6a81-49fb-8109-944c23c1a2c2	21b4dcd8-8df8-4c62-ad6a-a3ba92cc7300.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-4369	TCGA-BR-4369-01A	Primary Tumor
861bb27b-38ad-4037-ba63-d2f5ed03e9c1	9a44f16e-ede8-4e51-b3b9-7490c3f01945.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-D7-A6EV	TCGA-D7-A6EV-01A	Primary Tumor
e5771265-3bea-491b-896a-a67e12933109	d8e9f94e-9f93-494c-a0d9-9bc777c33b82.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-4361	TCGA-BR-4361-01A	Primary Tumor
d2403b0d-b44a-4c85-837d-a5d07e637deb	adb79bec-b6ce-4e6d-8186-4e9ded255229.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A8PQ	TCGA-VQ-A8PQ-01A	Primary Tumor
